link,link-href,article
"It is celebration time with kesariya gulaal for Muslims","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/it-is-celebration-time-with-kesariya-gulaal-for-muslims/articleshow/57603015.cms","LUCKNOW: All roads in the city started leading to the BJP office in Hazratganj soon after trends started turning exit poll predictions true.
  

  

  Every corner of the party office was celebrating with followers throwing kesariya (saffron coloured) gulaal on each other. Several rounds of phoolon ki holi and bursting of crackers added diverse shades to the colours of victory. But few skull caps turned many heads as they roared har har modi.. ghar ghar modi.. and gaye gaye gaye gaye gaye akhilesh (against SP's slogan of jai jai jai jai jai akhilesh).
  

  

  One of them was Wakif Mahmood Rufi, who flared the party flag with full vigour. ""I am here to tell everyone that Muslims are not averse to Modi or BJP,"" said the man who quit Samajwadi Party Mohalla Samiti after his party entered into a coalition with Congress Party. ""SP was no longer safeguarding interests of the community,"" he reasoned.
  Travel Makes You Richer. Get Travel Insured!Bajaj Allianz Travel InsuranceAarohi Designer Gold Plated Australian Diamond Jewellery ComShopcluesRecommended By Colombia

  

  State president, minority wing, BJP, Haider Abbas Chand Bhai said that like all sections of society, Muslims also need development. ""We have been befooled for long... caste or religion are a somethings one cannot choose or change. But improving one's quality of life through development is surely in our hands,"" he said.
  

  

  Party worker Zeeshan Mohammad, flared a lotus cutout like a child out of happiness. ""I am into the business of flowers but I am so happy with the mandate that I have brought 51 kilos of rose, marigold and petunia to shower on our party president Keshav Maurya,"" said Zeeshan.
  

  

  The muslims workers and supporters had their set of expectations from the new government. One Peer Mohammad Khan from Chowk said, ""I voted for sabka saath sabka vikaas. I wish the new CM integrates skill development of traditional artisans.""
  

  

  Syed Tahir Raza Rizwi wants uplift of the community .""Sachar Committee report showed our educational backwardness... education can empower people and change their life for better,"" he said. When contacted, BJP Muslim Poster boy and party spokesperson, Mohsin Raza, said, ""BJP against Muslims is a misnomer and all these happy faces prove it."""
"BJP out of woods in UP recording biggest win since Independence","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/bjp-out-of-woods-in-up-recording-biggest-win-since-independence/articleshow/57597592.cms","LUCKNOW: What sounded like political rhetoric on May 26, 2016, when Union home minister Rajnath said at a rally in Shahjahanjpur that BJP's ""vanvas (exile)"" in UP was about to get over, turned prophetic after 10 months on Saturday.
  

  

  There was no phenomenon like the 'Modi wave' of 2014 but BJP did it once again with UP's third biggest victory since Independence winning 300+ seats and decimating two regional giants, ahead the 2019 Lok Sabha poll.
  

  

  Congress had won 388 seats out of 430 in 1952 assembly election, followed by Janata Party winning 352 out of 425 possible seats in post-Emergency 1977 assembly election. The unprecedented and extraordinary win was not only a referendum on Modi's demonetisation drive, it also brought to fore BJP's social engineering skills in the caste-ridden politics of UP, which went hand-in-hand with polarisation. The huge victory of 324 seats out of 403 has the nod of the common man.
  

  

  The results are an indication of a new phenomenon that has emerged in this election—polarisation of the classes. While the pro-rich were heard protesting against the PM's move of demonetisation, the pro-poor were unnerved and instead, being happy over the fact that rich had to stand in queue.
  

  

  With a huge chunk of OBCs and Dalits falling in pro-poor category, their consolidation, especially of non-Yadav OBCs and non-Jatav Dalits through demonetisation coupled with projection of many OBC and Dalit leaders like UP BJP chief and Phulpur MP Keshav Prasad Maurya, besides former Leader of Opposition and a new entrant in BJP Swami Prasad Maurya and Agra MP Prof Ramshanker Katheria only helped the BJP further its cause.
  

  

  The shortfall in selection of candidates or weak candidates was taken care of by the Modi magic, which was not perceptible througout the election campaign but emerged as a strong point in favour of the BJP.
  

  

  Unlike in Bihar, however, BJP strategists and researchers maintained a balanced approach while utilising the PM services and his magic, thus limiting him to only 23 rallies across the state as compared to about 31 rallies in Bihar. His jibes on parties and leaders was not only well-researched, it delivered keeping in mind the region where the PM would address the gathering.
  

  

  At Kannauj, a region where family feud in the Yadav clan of Samajwadi Party could have divided the people, the PM reminded Akhilesh that his alliance partner Congress had once plotted an attack on his father Mulayam Singh Yadav in 1984.
  Topware (Jagdamba) insulated lunch box with 3 containersShopcluesWhy keep money idle when you can earn returns?FundsIndiaRecommended By Colombia

  

  BJP UP in charge Om Mathur said Modi once again emerged as their strongest point, though labour of party workers at ground level could not be overlooked.
  

  

  Unlike in the previous election, there was a balance on using polarising politics too with the likes of Mahant Yogi Adityanath and UP BJP chief Keshav Maurya being used maximum in West UP region, an area which has seen polarisation ever since Muzaffarnagar riots in 2013.
  Latest CommentBig slap to Mamata (west Bengal cm) who claimed lose of BJP IN UPRaj bhawal

  

  Though major losses were mainly from the Opposition benches, former chief of UP BJP Laxmikant Bajpayi's defeat in Meerut along with the drubbing of Mriganka Singh, daughter of Kairana MP Hukkum Singh at the hands of Rafique Ansari of Samajwadi Party and Nahid Hasan also of Samajwadi Party respectively, were the few major losses.
  

  

  With the huge win, however, has come an equally huge resposibility for the BJP leaders to deliver on their promises like the issue of triple talaq, closure of abattoirs, Ram temple, anti-Romeo squad, waiving of farmers' loan and clearing sugarcane dues of the farmers from state exchequer in 14 days as failing to do so would endanger their prospects in the Lok Sabha elections in 2019. So would be the selection of chief minister."
"Owing to anti-incumbency, divided muslim vote, turncoats register wins in Dadri, Jewar","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/owing-to-anti-incumbency-divided-muslim-vote-turncoats-register-wins-in-dadri-jewar/articleshow/57597930.cms","DADRI/JEWAR: It was a day of the turncoats with both old and new managing to register wins in the election for the three constituencies of Gautam Budh Nagar.
  

  

  Anti-incumbency, lack of BSP connect at ground level and a divided Muslim vote led to a surprise win for the turncoat Thakur Dhirendra Singh who switched ranks from the Congress to the saffron party. Singh won with a margin of 22, 169 votes defeating the sitting candidate Vedram Bhati in the BSP stronghold.
  

  

  Jewar, which has seen a BSP candidate winning from the past three assembly elections, had the closest competition among all the three constituencies of Gautam Budh Nagar. While Noida and Dadri were clean sweeps, Jewar saw a tough fight which remained undecided till the 10th round of counting when both the BJP and BSP were at a difference of around 500 votes.
  

  

  Result was announced after the 25th round.
  

  

  Dadri has seen a return of the BJP after almost a decade when Nawab Singh Nagar was the constituency's MLA from October 1996 to May 2007.
  

  

  The latter was lobbying for a ticket from Dadri this time but was denied. Tejpal Nagar who had quit the BSP to join the BJP ahead of the 2014 general elections, was given a ticket from the party.
  

  

  Nagar's supporters had reached Delhi to protest against the candidature of Tejpal Nagar in the run up to the polls. Similarly, the BJP had faced protests for fielding Thakur Dhirendra Singh, an old Congressman who switched ranks shortly before the assembly polls on January 8.
  

  

  Even the losing candidates admitted that the Muslim vote was divided.
  

  

  Satveer Gurjar, who has been winning the Dadri seat for the past two assembly elections lost to BJP's Tejpal Nagar by 80, 140 votes.
  

  

  ""Polarisation led to the votes going to Modi. They have sold fake dreams,"" Gurjar told TOI.
  

  

  However, he denied that the rural vote bank shifted to BJP.
  United Bag Travelon Spacious Small Travel Bag  - Large GreenShopcluesMistakes to avoid while purchasing insurance!TomorrowMakersRecommended By Colombia

  

  Vedram Bhati, who won the Jewar seat in 2012 defeating closest rival Thakur Dhirendra Singh, who was then standing for the Congress said that along with anti-incumbency, it was a weak candidate from the Gurjar community standing from the SP-Congress alliance that led to the votes falling in Dhirendra Singh's lap.
  

  

  ""Had there been a strong candidate against me, votes would not have got transferred to the BJP,"" he said.
  

  

  The result suggested that even the traditional Congress votes went to Dhirendra Singh despite his switch.
  

  

  ""I had an expectation that I will win with a margin over 50, 000 votes and will get 1, 25, 000 votes in total. But, votes have come from every village, every booth and I have received love from all the people and it is more than enough for me. The winning margin does not matter,"" Singh told TOI."
"Backroom BJP man Sunil Bansal whose master strokes led to historic win","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/backroom-bjp-man-sunil-bansal-whose-master-strokes-led-to-historic-win/articleshow/57597581.cms","LUCKNOW: Halfway through the poll campaign, Amit Shah had fondly called Sunil Bansal, a big factor in the 2014 win, the ""hero of 2017 battle"". A section of BJP leaders unhappy with him had been painting him as an arrogant man not ready to listen to others. Shah, no wonder had the eye to recognise Bansal's capabilities. With BJP getting absolute majority, the backroom boy of the UP BJP, Sunil Bansal is at the forefront.
  

  

  Just before Lok Sabha election, the Rashtriya Swayemsewak Sangh had decided to send Bansal to Uttar Pradesh to assist Shah who was then UP in charge. It was the first time both met each other, Bansal had once told TOI. The six months he spent during Lok Sabha election in UP gave him the experience of politics in the state. ""This is one state where politics is in the air,"" he said, talking to TOI.
  

  

  Back in UP as organisation secretary, Bansal changed the social combination of the party. With Shah's support, Bansal managed to appoint an additional 1,000 office-bearers from booth to state level from OBCs, MBCs and Dalit caste. Instead of replacing OBCs and Dalits with upper caste office-bearers, he added them to the existing strength.
  

  

  He then selected around 150 workers to look after the BJP organisations' day-to-day functioning and ensured that 95% of his team comprised members of the state. ""They were workers who had the zeal to work passionately for the party and were tech-savy too,"" Bansal said.
  

  

  After UP BJP registered over 2 crore members, the party's next task was to strengthen the booth. The BJP organisation secretary launched a drive of a sorts to form booth committees. Of the 1.47 lakh booths across the state, the BJP organisation managed to have effective committees on at least 1.08 lakh booths.
  Bonjour Mens Ankle Length Pack of 3 Pair Sports SocksShopcluesLady loses kgs in 1 week with  odd one trickManorama BlogRecommended By Colombia

  

  BJP also had to work hard on shedding its tag of being an urban party. It was Bansal's idea that the party contested panchayat elections. He faced resentment over the decision but with support of UP in charge Om Mathur and then UP BJP chief Laxmikant Bajpayi, BJP contested panchayat election and though it could win 327 seats, it remained runner-up in another 300-odd panchayats and lost in another over 300 panchayats by a meagre margin of around 100 votes. But ultimately, the party got over 1,000 rural leaders.
  

  

  BJP organisation wooed voters at micro level by organising youth, women and Dalit meets at vidhan sabha constituency level. Bansal ensured the party marked its presence on social media and facilitated monitoring of programmes being held througout the state on social media media. He directed his team to form various WhatsApp groups to ensure the progress of these programmes was updated.
  

  

  Bansal and his team meanwhile carried out a survey to ascertain possible candidates from each vidhan sabha constituency. Four different surveys were made about six months back, Bansal told TOI and added that candidates were selected after looking at the surveys.
  

  

  ""We managed to ensure a social combination even in ticket distribution,"" shared Bansal, amid receiving greetings from all and sundry at the party office."
"BSP draws blank in Maya's 'karmabhoomi' Bijnor","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/bsp-draws-blank-in-mayas-karmabhoomi-bijnor/articleshow/57596961.cms","BIJNOR: Widely known as the 'karmabhoomi' of BSP supremo Mayawati, no one understood the political demography of this district more than Behenji herself. It was in 1985 that BSP fielded her from Bijnor for Lok Sabha elections and again in 1989, when she was elected for the first time. For 10 years, she worked in the region and gained experience as a politician and mastered the art of caste politics. Even in the 2014 general elections, she started her campaign from Bijnor. While in 2007 UP polls, BSP won all the seven seats of this district, in 2012 also, despite anti-incumbency factor, her party won four out of eight assembly seats. But this time, the party has been routed. Out of eight seats in Bijnor district, six have gone to BJP and two to SP, leaving nothing for BSP. This could be a game changer for the party in coming times.
  

  

  After the shattering defeat of the party, BSP veterans are now crestfallen and say the Dalit-Muslim combination might no longer work. Talking to TOI, BSP's former mandal coordinator Sarjeet Singh said, ""There are reasons for the defeat of the party not only in Bijnor but also in other parts of the state. First, we could not strike a balance among different communities. We had focused on Dalit-Muslim combination. In Bijnor, BSP fielded six Muslims out of eight seats, except two reserved seats, neglecting all other communities such as thakur, saini, jat, etc. BSP was completely trounced as all other communities united against the party and voted for BJP. Besides, a large number of Muslims joined the SP bandwagon. The Dalit-Muslim card proved a complete failure.""
  

  

  Singh further stated, ""The BSP leadership gives a cold shoulder to upcoming political stars in the party. Veterans and experienced leaders were sidelined before the polls. Former MLA Ashok Rana from Dhampur, MLA Tasleem Ahmed from Najibabad, Om Kumar from Nahtaur and former MLA Omwati Devi from Nagina contested the polls on BSP ticket in 2012, but in 2017 election, they fought from other party tickets and three of them — Om Kumar (BJP), Ashok Rana (BJP) and Tasleem Ahmed (SP) won. They had left the party as they felt ignored by the BSP leadership.""
  SC0214G SPARX Men Canvas Shoes SM-214 OliveShopclues5 smart reasons to refinance your home loan.TomorrowMakersRecommended By Colombia

  

  Singh claimed that BSP leadership treated cadres with disdain and appreciated outsiders.
  

  

  Another veteran and former MLA Sheeshram Singh said, ""There is no certainty that BSP leaders would get party tickets. The party leadership changes the ticket in last moment, keeping the aspirants in the dark.""
  

  

  International president of Vishva Dalit Parishad, Bhupendra Pal Singh, said, ""The BSP leadership indulges in marketing party tickets and give no monetary help to deserving candidates. Mayawati also failed to elicit help from the influential Muslim segment who can influence the voters.""
  

  

  According to Nrapendra Deshwal, a resident of Bijnor, ""We had great expectation from Mayawati but she failed on the issue of social engineering. This led to her failure."""
"Demonetisation not an issue in Agra, Firozabad; BJP makes impressive win","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/demonetisation-not-an-issue-in-agra-firozabad-bjp-makes-impressive-win/articleshow/57598187.cms","AGRA: Despite losing their jobs after industries shut down due to cash crunch following demonetisation, industrial workers from Agra and Firozabad factories voted for BJP in the hope that a party, which is fighting corruption in a big way, will bring better days for them. The party won seven constituencies of the nine in Agra district and four of the five seats in Firozabad, putting to rest assumptions that these voters are angry with Modi over notebandi.
  

  

  Hundreds of glass, bangle, footwear and petha units were forced to shut down after the currency shortage, rendering tens of thousands of workers unemployed. Many workers believed the decision to demonetise high value notes was done to eliminate corruption and arrest those who had amassed wealth through illegal means. Babu Ram Nishankh, 82, leader of a workers' association at one of Firozabad's bangle industries, said, ""Prime minister Narendra Modi's policy on notebandi struck a chord with workers who saw it as a move to bring equality among all sections of society. Despite facing criticism from his detractors, Modi kept speaking in favour of the poor during his rallies and this has borne results. People have reposed their faith in him and are hopeful that better days lie ahead for them.""
  

  4-year-old needs an urgent Heart TransplantMilaapHome Is Where Your Story Begins. Insure Both!Bajaj Allianz Home InsuranceRecommended By Colombia

  According to latest reports, 90 out of 100 bangle factories had downed their shutters because of the cash crunch, and more than 1.35 lakh labourers were out of jobs since the demonetisation was announced in November last year. Workers, however, appear confident that if they can throw SP and BSP out of power in the state, they can also show the door to BJP if the party failed to fulfill its promises. ""No doubt, there was anger against notebandi among workers. Things, however, improved later and the poor people were able to get their jobs back,"" Nishankh added.
  

  

  Airing similar sentiments, Puttu Singh, former state vice-president of Centre of Indian Trade Unions, said, ""People have voted for change, thinking that a new government will work towards their betterment. Workers think if Modi ji can take a major decision to curb black money, it would not be too difficult for the PM to implement stringent labour laws in the industrial sector. Post-demonetisation, efforts are being made to open bank accounts of workers so that their wages go directly to these accounts.""
  

  Latest CommentPeople have woken up and have shunned vote bank politics.Deshpremi Indian

  Puran Dawar, president of Agra Footwear Manufacturers and Exporters Chamber (AFMEC), said, ""The election results have proved beyond doubt that demonetisation had no negative impact on people's minds. People from all strata of life came forward to vote for PM Modi not only in UP but in other states as well. Demonetisation was a revolutionary step by the central government to purge the system of corruption.""
  

  

  Rajesh Aggarwal, secretary of Noori Darwaza Petha Union, said, ""No doubt that our sector was badly hit by notebandi and workers had to sit idle at home, but it was a temporary phase. Today, things are back to normal. Workers saw voting for BJP as an attempt at indicting the corrupt."""
"Son of the toil gets Uttar right for BJP","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/son-of-the-toil-gets-uttar-right-for-bjp/articleshow/57602065.cms","LUCKNOW: The hard lessons BJP learnt from its defeat in Bihar in 2015 were put to good use while planning its strategy for Uttar Pradesh 2017. This time round, BJP avoided the pitfalls of strident election rhetoric and steered clear of self-goals such as RSS chief Mohan Bhagwat's comments on quotas. Decisions on ticket distribution were carefully calibrated and local leaders were involved in every aspect of decision-making.
  

  

  BJP stuck to a fairly large bouquet of issues, ranging from Hindutva concerns like a ban on mechanised slaughterhouses and Romeo squads to welfare schemes such as farm loan waivers and a package for Bundelkhand. Apart from showcasing PM Narendra Modi as its poll mascot, the party cut its reliance on central leaders, and gave sufficient space to state leaders.
  

  

  Candidates were carefully chosen to reflect a caste balance spectrum with focus on non-Yadav OBCs. Three candidates were chosen from each constituency, and the MP had a major say . Candidates who had suffered successive defeats were not considered despite protests.State president Keshav Prasad Maurya, state general secretary (organisation) Shiv Kumar and national vice president Dinesh Sharma, were assigned the task of identifying candidates who were further vetted by BJP chief Amit Shah with poll managers like Sunil Bansal playing a key role.
  UTB015 Foursquare Double Pkt Expandable Travel BagShopcluesBurn 30 kgs in 7 weeks without liposuctionFit-Indian BlogRecommended By Colombia

  

  The campaign narrative had two distinct strands. While party seniors stuck to the development agenda, local functionaries focused on micro issues to strike a chord with the voters. BJP's cause received a boost when the Dayashankar Singh-Swati Singh episode happened. After making slanderous remarks against BSP supremo Mayawati, BJP member Dayashankar was sacked as state general secretary. But the equally offensive diatribe by BSP functionaries against Dayashankar's wife Swati polarised upper castes against Mayawati.
  

  

  The election results show a rare convergence of Brahmins and Thakurs, who together constitute around 19% of voters. Firebrand Hindutva speaker Yogi Adityanath criss-crossed the state. Sensing legal hurdles, the party was pragmatic and didn't make fresh promises on the Ram temple and reiterated its construction through Constitutional means.
  Top CommentOutsider wins the hearts, as insider lost faith of the people.Mpraomokkapati

  

  Unlike Bihar, state leaders led from the front during 'parivartan' rallies with 'nukkad' meetings and direct interaction with the people as the highlights. Modi and Shah were reserved for the bigger occasions.
  

  

  ""We had direct connect with more than two crore people across the state after covering 17,000km during the parivartan yatra,"" said Maurya."
"Parivar pips Pari-war, Tipu has battles ahead","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/parivar-pips-pari-war-tipu-has-battles-ahead/articleshow/57601984.cms","LUCKNOW: Kaam nahi, karnaame bolte hain,"" PM Narendra Modi's counter-offensive against UP chief minister Akhilesh Yadav's high-voltage campaign of ""Kaam bolta hai"", worked wonders for the saffron outfit in the UP polls.
  

  

  The SP's road ahead now appears difficult; among its primary challenges are keeping the clan war in the Yadav family from re-erupting and addressing the resentment among senior members who have been defeated.
  

  

  The result can be seen as a verdict on the SP government, which was mired in controversies involving corruption, lawlessness and nepotism, and shows that the people were not taken in by the SP's attempt to hard-sell Akhilesh as a clean and development-oriented leader.
  

  

  The size of the BJP's victory demonstrates that the ground realities highlighted by it hurt the young CM: poor law and order, a free run to the `bhu' (land) mafias and preferential recruitment.UP's voters reposed faith in Modi's promise to end the ""karobaar of bahubalis"" when BJP came to power.
  

  

  ""The results show that the UP CM's good image was diluted by controversies related to land grabbing, nepotism in government recruitment and the impression of lawlessness that prevailed for a large part of his tenure. The party failed to convince voters,"" said a political analyst. It seems the SP's ""thuggish"" image affected the party , and Akhilesh's laudable initiatives, such as the `ambulance sewa' and an emergency crime helpline, came too late for any meaningful impact.
  United Bag Fast Trip Grey and Black Casual Backpack UBK344ShopcluesGirl burns 15 kg per month with this productHealthreport24Recommended By Colombia

  

  The SP narrative, like the one put forth by its Gorakhpur district chief, Prahlad Yadav, that ""SaPa ne goondo ko kinara kar liya hai. Sab ab jail mein sarh rahe hain (SP has thrown anti-social ele ments into jail)"", failed to convince people.
  

  

  Even younger voters seem to have chosen Mod over the ""UP ke ladke"" as Modi's aggressive pitch against the Samajwad Party government's al leged discrimination in recruitment processes res onated among them.
  Top CommentBaap aur beta thought UP is their back yard.narasarao

  

  The SP tried to counter BJP's promise to set up ""anti-Romeo squads near colleges to ensure the safety of girls but Dimple Yadav's reply that the BJP promise was an attempt to go after the freedom women enjoy in a college or university environment, and that the squads would become ""anti Romeo-Juliet squads"" that harass couples, went unheeded. And BJP managed to cash in on the insecurity among young women due to poor law and order.
  

  

  The big and immediate challenge SP faces is the nomination of the Leader of the Opposition in the state assembly .Apart from that, party insiders said the huge defeat may even revive the intrafamily struggle."
"How BJP beat Maya, Mulayam at their caste card game","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/how-bjp-beat-maya-mulayam-at-their-caste-card-game/articleshow/57597158.cms","LUCKNOW: Known so far for playing mandir, polarisation and development cards and even after getting branded as a party of upper castes and baniyas, BJP this time used the caste formula, a forte of Mulayam and Mayawati that kept the two regional parties in power for around 15 years.
  

  

  From selection of candidates to anointing Keshav Maurya state president a year ahead of polls, welcoming strong OBC leaders like former Leader of Opposition Swami Prasad Maurya from other political parties and targeting sections like non-Yadav, OBCs & non-Jatav Dalits, the BJP this time succeeded in trumping SP and BSP on their home turf by cracking the caste code.
  

  

  Expanding support base among non-Yadav OBCs and non-Jatav Dalits was first made under Kalyan Singh and the outreach, helped by the Ram Mandir campaign, paid rich dividends too. In 1991, BJP led by Kalyan Singh rode to power with 221 seats, won 177 in 1993 and bagged 174 seats in 1996.
  

  

  But by late 1990s, it was abandoned after Kalyan Singh left the BJP and leaders like Rajnath Singh, Kalraj Misra, Kesarinath Tripathi took centrestage. By 2002, the BJP could win only 88 seats. That was the time Mulayam Singh-led Samajwadi Party with 143 seats and Mayawati-led Bahujan Samaj Party with 98 seats emerged as two principal players.
  

  

  The first attempt to revive the social coalition was made by Amit Shah who paid heed to Kalyan Singh's suggestions. Modi's own appeal as the first ""backward' to have made it to the PMO on his own steam was another factor. During Lok Sabha election, Amit Shah came to UP as its in charge.
  

  

  The first sign of BJP shifting back to wooing non-Yadav OBCs was evident when it fielded 25 OBCs, 17 Brahmins, 14 Thakurs, 17 Dalits, 3 Vaishays and one Pasi and Bhumihar each, while tickets for two seats were given to Apna Dal. A total 27 tickets were given to OBC candidates including the Apna Dal.
  

  

  BJP ended up making a record of sorts with party and alliance candidates together winning 73 out of possible 80 seats. With over two years left for assembly election, national BJP chief BJP Rajnath Singh, who became Union Home Minister in Modi cabinet, was replaced with Amit Shah as the party chief. Like Lok Sabha election, the BJP had set goal of winning UP assembly election and Shah knew that without wooing non-Yadav and non-Jatav Dalits, it would not be possible.
  

  

  They began wooing non-Yadav OBCs early. In March 2015, Shah wasted no time in accepting invitation from Anil Rajbhar, then a SP leader, to address a rally. ""Today is the beginning of bringing backward castes and other castes under a single umbrella. This is necessary because despite reservation policy, only one caste (Yadavs) is getting all benefits meant for all Backward Castes,"" Shah had said, addressing the 'Adhikar Paao Maharally' on March 23 in Varanasi. Shah inducted over 15,000 members of the Rajbhar community into the BJP.
  

  

  Shah went to Bahraich to garland the statue of Suheldev Pasi, a king who stopped Salar Jung's accession. Shah continued with such moves quite regularly. In the same way, the BJP leadership also focussed on non-Jatav Dalits. Prime Minister Narendra Modi's visit to Ravidas Temple in Varanasi was seen as one such move.
  

  

  In the meantime, the party strategists also were on job not only to woo prominent OBC leaders into the party fold but also to project OBC leadership of the BJP. No wonder, appointment of Phoolpur MP Keshav Prasad Maurya as UP BJP chief was one such move. The attempt was to woo about 8% of Kushwaha, Maurya, Shakya and Saini community.
  Hmt Ladies Designer Wrist WatchShopcluesKnow the first step of financial planningMAX LIFE INSURANCERecommended By Colombia

  

  Many such decisions mobilised OBCs. Demonetisation decision by Prime Minister Narendra Modi, against Opposition's claims of angering the middle class, polarised the pro-poor, who also belong largely to OBC and Dalit communities, and further united them against the pro-rich.
  

  

  When it came to ticket distribution, the BJP leadership was generous to OBCs who got over 40% tickets out of 403. Party strategists like UP in charge Om Mathur and organisation secretary Sunil Bansal further ensured that OBC leaders like Keshav Maurya, Swami Prasad Maurya, Swatantra Deo Singh and others are utilised maximum and address rallies in a bid to woo OBC voters.
  

  

  According to a rough estimate, UP BJP chief Keshav Maurya addressed around 200 rallies across the state.
  

  

  It is, thus, not surprising that BJP won around 290 seats out of 403. Next goal beng now 2019 Lok Sabha election, it would be interesting to see whether the CM is from OBC or Dalit category."
"Urban voters lift BJP prospects","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/urban-voters-lift-bjp-prospects/articleshow/57600523.cms","GHAZIABAD: The seats in Ghaziabad that have primarily an urban voter base yielded good dividends to the BJP in the latest polls. Though the BJP won hands down in all five seats of the district, margins of victory were higher in urban seats compared to those seats where the voter base was rural. This was the main reason for the highest victory margins in Sahibabad and Muradnagar, which have primarily urban voters.
  

  

  In Sahibabad assembly seat, which includes the urban areas of Indirapuram, Vaishali, Vasundhara and Kaushambi, BJP candidate Sunil Sharma trounced his nearest rival Amarpal Sharma by a margin of over 1.5 lakh votes. BJP has won the seat despite the fact that Amarpal Sharma has a huge vote bank in Khoda colony which is located on the borders of Delhi.
  

  Travel Makes You Richer. Get Travel Insured!Bajaj Allianz Travel InsuranceAarohi Designer Gold Plated Australian Diamond Jewellery ComShopcluesRecommended By Colombia

  The second highest margin of victory for the BJP in the district has been in Muradnagar seat. The two upscale areas of the district, Kavi Nagar and Raj Nagar, are in Muradnagar. Here, BJP's Ajit Pal Tyagi trounced his nearest rival, Sudhan Rawat of the BSP, by a margin of over 89,000 votes. Congress veteran Surendra Prakash Goel, who also contested from Muradnagar, bagged just 49,000 votes.
  

  

  ""It is the mandate of the people and we respect it. However, polarisation tactics was used by the BJP to woo voters which resulted in the mandate going in their favour,"" Ghaziabad district Congress president Harendra Kasana told TOI.
  

  

  The Ghaziabad assembly constituency also contains a sizeable section of urban population in areas like Nehru Nagar, Model Town, Rakesh Marg and Patel Nagar. The string of massive victory margins continued in Ghaziabad seat too. The BJP candidate from Ghaziabad, Atul Garg, won the seat by trouncing his nearest rival, Suresh Bansal of the BSP, by a margin of over 70,000 votes.
  

  

  The lowest margin of victory for the BJP has been recorded in Loni assembly seat which has a primarily rural voter base. Nand Kishor Gujjar of the BJP has won the Loni seat by defeating his closes rival Zakir Ali of the BSP by nearly 43,000 votes."
"Lotus bloom steals life at Samajwadi Party office","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/lotus-bloom-steals-life-at-samajwadi-party-office/articleshow/57598897.cms","LUCKNOW: A simple presser thrown by Samajwadi Party used to be enough to clog the Vikramaditya Marg. But the typical hullaballoo around the ruling party went missing here on Saturday as Modi brigade trampled the 'UP ke ladke'.
  

  

  At around 9 am, when the first set of trends for the state came in, several khadi-clad supporters, dawning the Samajwadi 'topi', were seen watching election results on a LED TV fitted van.
  Earton WomenGirl Pink Sneaker Casual ShoesShopcluesUse this weird fruit to lose 30kg in 2 monthsHealthreport24Recommended By Colombia

  

  In no time, several media persons joined them and started giving live PTC (piece to camera). But the road was wearing a deserted look. SUVs came in, halted for a few seconds to assess the situation and then went away. Some even got down and walked up to the party office gate, but returned in no time. Policemen deployed there were quick to conclude the changing times. ""Parivartan ki bela hai..."" remarked one of them.
  

  

  The fragrance of incense sticks and 'havan samagri' drew the nose and took it to a small Hanuman Temple, about 50 metres away from the SP office. A party worker was quietly submitting 'ahutis' into the fire amidst the echo of Sundar Kaand (a religious chapter on the deity) paath. Photographs of Akhilesh Bhaiya and Dimple Bhabhi were placed before the deity to invoke his blessings. ""I am praying for our party's victory,"" said the devotee Ram Avtaar Yadav, a native of Azamgarh.
  

  

  Asked if he had seen the trends indicating BJP's landslide victory in UP, he said, ""Yes I have, but they are trends. I will not lose hope till the results are declared."" By 1 pm, trends grew stronger and SP's nosedive became a fact which disheartened a handful of supporters who were hoping against hope. In the evening, CM Akhilesh Yadav invited reporters to his official residence 5 Kalidas Marg for one last time.
  

  

  As Akhilesh told the media that he had accepted the verdict, a pall of gloom descended on the party office. An hour later, drizzle made a few pedestrians find shade near the office. One of them Mohan Kumar remarked, ""Indra dev bhi khush hain kamal ke khilne se. (Even the rain god is happy with the blooming of lotus)."""
