"","Headline","article","location"
"196","Assembly Elections 2017: Let Candidates Withdraw Rs. 2 Lakh A Week, Election Commission Requests RBI","                             The Election Commission has written to the Reserve Bank of India asking it to increase the weekly limit of cash withdrawal limit for candidates from Rs. 24,000 to Rs. 2 lakh. The request of the Election Commission comes ahead of the assembly elections in five states, which begin on February 8. According to the last rule of the Central Bank, one can withdraw Rs. 24,000 a week from banks. But no special provision has been made for the candidates contesting the assembly elections.

In its letter to the Reserve Bank, the Commission said it has been ""apprised of the problems"" the candidates are facing. The government, it said, has fixed a limit of expenditure, which is 28 lakh for Punjab, Uttarakhand and Uttar Pradesh and Rs. 20 lakh for Manipur and Goa. But given the cap of Rs. 24,000 on withdrawal per week, the candidates can withdraw only Rs. 96,000 over the three to four weeks left, the Commission pointed pointed out.

""Even considering that part of the expenditure will be incurred through cheque, petty and recurring expenditure is generally incurred in cash,"" the letter read. ""The issue is further compounded in rural areas, where banking facilities are not available or are negligible.""

The ban on 500 and 1000 rupee notes, which came within a few hours of Prime Minister Narendra Modi's surprise announcement on November 8, has been followed by a huge cash crunch as nearly 86 per cent of currency suddenly went out of circulation. The Reserve Bank imposed withdrawal limits from banks and ATMs. While the situation has eased as the new notes of Rs. 500 and Rs. 2000 trickled into circulation, the RBI is relaxing the cash withdrawal rules in phrases.

Union Finance Minister Arun Jaitley has said the central bank will remove restrictions on cash withdrawals only after assessing market situation and the government will not interfere in the process.

The elections, which will begin on February 8, will end in March. The results will be announced on March 11.","new delhi:"
"197","BJP Releases Third List Of Candidates For Uttar Pradesh Polls","                             The Bharatiya Janata Party (BJP) on Tuesday released the third list of candidates for the Uttar Pradesh assembly elections. The BJP list had names of defectors from other parties, including former Bahujan Samaj Party (BSP) leader Swami Prasad Maurya, who is contesting from Padrauna assembly seat in Kushinagar district.

BJP's senior leader in Uttar Pradesh Surya Pratap Shahi has been fielded from Pathardeva constituency in Deoria district.

With the third list of 67 candidates, the saffron party has so far announced a total of 371 candidates out of 403. Now, 32 seats are left, some of which will go to BJP's alliance partners Apna Dal and Suheldev Bharatiya Samaj Party (SBSP).

BJP National Secretary Arun Singh, who announced the list, said the party has tried to give representation to every section of people in its list.

On being asked why there is not even a single Muslim candidate in BJP's list, Mr Singh said the party would field one as soon as it finds a ""suitable candidate"".

""We will give ticket to Muslims whenever we find a suitable candidate,"" he said.

To a question of many ""star-kids"" in the BJP list though the party openly criticises nepotism, Arun Singh said there is nothing wrong if a family member of a leader gets ticket on the basis of their work.

""If a person has been working for the party for several years, he can ask for a ticket even if he/she is a family member of an existing leader,"" Mr Singh said.

He said the BJP's ""approach is different"" from parties like Samajwadi Party and Congress which are ""run by one family only"".","new delhi:"
"198","Election Commission Bars Schemes For Poll-Bound States In Union Budget"," HighlightsOpposition parties had challenged Budget announcement ahead of polls
Supreme Court ruled that Budget need not be delayed
Poll body says budget cannot have schemes specific for poll-bound states
                                No specific schemes can be announced in the union budget for the five states where assembly elections are due this year, the Election Commission has said. The Commission said, ""in the interest of free and fair elections"" and to maintain ""level playing field during elections"", no state specific schemes should be announced in the national budget, which may influence the voters in the five poll-bound states ""in favour of the ruling party"".

The Commission also said it should be ensured that in the Budget speech, ""the government's achievements in respect of the five states will also not be highlighted in any manner"".

The top election body's comments came after opposition parties complained to poll panel and wanted the budget to be postponed.

""We hope and we clearly say that it is the responsibility of the Election Commission and they must abide by their constitutional duty to ensure that polls are free and fair, that no kind of inducements which will impress upon the voter in the election in the five states would happen,"" news agency Press Trust of India had quoted Congress spokesperson Ajoy Kumar as saying.

Earlier on Monday, the Supreme Court ruled that the budget will be held on February 1. The order came in response to a petition that sought the budget be pushed back in view of the assembly elections in five states, so it would not influence the voters.

The court, however, said the union budget has ""nothing to do with states"". ""Throughout the year, there may be elections in different states, so should the centre not present the budget?"" the judges questioned.

Last year, the centre had announced that it would present the budget earlier than usual so it does not clash with the election schedule. Ending a practice that had started in the British era, the government also said the railway budget would be merged with the annual budget.

The elections in Punjab, Goa, Uttarakhand, Uttar Pradesh and Manipur will begin on February 4. The results for all states will be announced on March 11.","new delhi:"
"205","'Don't Seek Votes In Name Of Religion, Caste': Election Commission To Parties","                             Don't seek votes in the name of religion and caste, the Election Commission warned political parties today ahead of polls in five states from February 4.

""Strictly follow the Supreme Court verdict, which said seeking votes in the name of religion, caste is a corrupt practice,"" the powerful election body said in a letter to all parties, directing them to ""instruct cadre to desist from soliciting votes in the name of religion and caste.""

The letter quotes extracts of the top court judgment.

In a separate letter to chief electoral officers of all states, the Commission said any activity of seeking votes in the name of religion and caste by or on behalf of any candidate or political party would now amount to violation of the provisions of the Mode Code of Conduct. The CEOs have been asked to inform the grassroots level election officials and ensure the compliance of the Supreme Court orders during elections.

Earlier this month, in a majority verdict, the Supreme Court held that appeal for votes on the ground of ""religion, race, caste, community or language"" amounted to ""corrupt practice"".

Referring to that order, the Election Commission said all parties should take note of it for ""strict compliance"".

""The political parties may also suitably brief and inform their lower formations and party cadres and all their candidates about the ruling of the Supreme Court and ask them to desist from any activities that would amount to soliciting votes in the name of religion, caste, etc in any manner, in their own interest and in the interest of the party. Such appeals may also fall within the ambit of... Model Code of Conduct,"" the letter to top bosses of all recognised national and state political parties said.

Uttar Pradesh, Punjab, Goa, Uttarakhand and Manipur will vote in assembly elections to be held in multiple phases between February 4 and March 8. The results will be announced on March 11.

With inputs from PTI","new delhi:"
"208","Union Home Ministry Provides 85,000 Paramilitary Personnel For Poll Duties","                             As many as 85,000 paramilitary personnel have been made available to the Election Commission for deployment in the upcoming assembly elections in five states, including in politically-crucial Uttar Pradesh, beginning February 4.

At a high-level meeting recently, the Union Home Ministry has committed to provide 850 companies for the polls, official sources said.

A company of paramilitary force comprises around 100 personnel.

In addition to the central forces, a few lakh personnel belonging to state police forces and home guards of the respective state will also be deployed for election duties.

The Home Ministry is accumulating 150 companies, most of them from State Armed Police forces and India Reserve Battalions, from different states for election duties. Rest of the forces will be from central paramilitary forces, the sources said.

While majority of the forces will be deployed in Uttar Pradesh, where polling will be held in seven phases, a sizeable number will also be deployed in Manipur which continues to be on edge due to a blockade on a major national highway, the sources said.

Assembly elections in Punjab, Uttarakhand and Goa will be held in single phase and Manipur in two phases from February 4.

(This story has not been edited by NDTV staff and is auto-generated from a syndicated feed.)","new delhi:"
"209","UP Elections: Congress Releases First List Of Candidates After Alliance With Samajwadi Party","                             Hours after the Congress and Samajwadi Party finalised their pre-poll alliance on Sunday, the Congress announced its first list of 43 candidates for the Uttar Pradesh assembly elections. The list includes former Union minister Jitin Prasad and controversial leader Imran Masood. The party may come out with a second list soon.

Out of 41 candidates on the Congress list, eight are Muslims, which translates roughly to 20 per cent. This is in direct contrast to the two BJP lists, which do not any Muslim candidate so far.

Imran Masood, who was in the eye of a storm during 2014 Lok Sabha elections when a video clip emerged that allegedly showed him saying he would cut Narendra Modi into pieces if he ever came to his constituency. Masood was jailed for his alleged hate speech.

After an initial list of 41 candidates, the party's general secretary Madhusudan Mistry later released a list of two additional nominees cleared by the party's Central Election Committee (CEC), which includes Masud Akhtar from Saharanpur Nagar and Sherbaz Khan from Chandpur Assembly constituency.
","new delhi:"
"214","Akhilesh Yadav's List Of 191 Samajwadi Party Candidates Includes Uncle Shivpal Yadav"," HighlightsAkhilesh Yadav was declared party chief over father by poll authority
Mulayam Singh in meetings with Akhilesh Yadav had sought seats for 38
Akhilesh's list includes Shivpal, leaves out Mulayam's other close aides
                                Estranged uncle Shivpal Yadav has made Chief Minister Akhilesh Yadav's first list of 191 Samajwadi Party candidates, but several other close associates of his father Mulayam Singh Yadav have been left out. The candidates were announced today ahead of a formal announcement of the party's alliance for the Uttar Pradesh election with the Congress. The ruling party's first list of candidates covers the first three phases of the UP elections, which will be held in seven phases beginning February 11. The Samajwadi Party has said it will contest 300 of UP's 403 seats, with the balance being allotted to the Congress.

Akhilesh Yadav's list corrects an earlier list of candidates that his father Mulayam Singh Yadav had released last month, which left out several of the chief minister's key aides. Those associates like Atul Pradhan and Arvind Singh Gope are being fielded by the party now.

Senior minister Azam Khan, who played mediator between father and son in their bitter power struggle in the last few weeks, will contest again from his constituency Rampur. His son Abdullah Azam makes his debut as a Samajwadi Party candidate from Swaar. Both had also featured in Mulayam Singh's list of candidates.

But Shivpal Yadav's son Aditya has not been given a ticket by cousin Akhilesh Yadav. Mulyam Singh loyalists like current lawmakers Raghuraj Shakhya and Sukh Devi Verma have been dropped.

Today's list also leaves out candidates like Atiq Ahmed, a gangster-turned-politician with multiple criminal cases against him. He had earlier been announced as a Samajwadi Party candidate by Mulayam Singh at the behest of Shivpal Yadav, even though Akhilesh Yadav had strongly opposed fielding him.

Shivpal Yadav, who will contest Jaswantnagar, the constituency he represents, is in many ways the crux of the feud between the Chief Minister and his father Mulayam Singh. In the months before the crucial UP elections, Shivpal Yadav had challenged the Chief Minister on key decisions and was consistently backed by Mulayam Singh.

Last month, Akhilesh Yadav had announced his own candidates in defiance of his father's list and was later declared Samajwadi Party president by his supporters in place of his father at a party meeting. ","new delhi:"
"217","Why BJP Chief Amit Shah Is Facing 'Friendly Fire' Right Outside His Home","                             Outside BJP chief Amit Shah's home in Delhi today, several buses arrived and disgorged crowds of supporters carrying what appeared to be party posters. They didn't come in peace. Loud slogan-shouting erupted within seconds. Despite Mr Shah's warning to party men not to lobby for or protest against candidates for next month's state elections, the BJP is facing minor mutinies several times a day.

Today's first group of protesters was from Dhaulana town in Uttar Pradesh, where the BJP has named Ramesh Chandra Tomar as its candidate. YP Singh was the party's choice in the previous polls. His supporters loudly and relentlessly tried to seize Mr Shah's attention. They are angry that Dharmesh Tomar, a turn-coat, has been named BJP candidate. Mr Tomar won the seat in the previous 2012 state polls as a Samajwadi candidate, reducing the BJP's YP Singh to a poor third. The BJP is seen to be betting on caste equations by fielding Mr Tomar.

The second group of ""rebels"" was from Amroha, also in UP. The protesters shouted slogans for Devendra Nagpal, who says he has been denied a chance in the Naugavan constituency.

The BJP has chosen ex-cricketer Chetan Chauhan, who represented the Amroha parliamentary seat long ago but is now being dubbed an ""outsider"" by Mr Nagpal's loyalists.

Tarsem Singh, a BJP worker holding a protest placard, said, ""The local BJP's views have not been considered. Mr Chauhan has no chance of winning as he has not been in Amroha since his term as MP ended. ''

The protestor alleges that the party has set up a walkover for the Samajwadi Party's Mehboob, a four-term MP, by choosing Mr Chauhan.

The shouting bunch finally got a hearing with the BJP's points person for the Uttar Pradesh polls, senior leader Om Mathur.

In the last three days, at least 10 groups have challenged the choices made by the party's central election committee headed by Amit Shah, which includes Prime Minister Narendra Modi.

The incessant protests reflect that the party's effort to add leaders from rival parties is backfiring and also threatens to upset caste calculations.

Yesterday, another group of protestors from UP were assured that the party will not field a turncoat from Noida, like in the case of Dadri and Jewar.

In Dadri, the BJP is fielding Tejpal Nagar, 58, and in Jewar, 50-year-old Dhirendra Singh is the candidate. They are both recent recruits, taken not before 2014.

Due to the unrest in these two seats, the party has delayed naming a candidate in Noida.","new delhi:"
"219","Congress Rejects Akhilesh Yadav's Final Offer Of 99 Seats, Alliance Nearly Over"," HighlightsAkhilesh Yadav's list of candidates left the Congress upset
Congress seeks 110 seats, rejects final offer by Akhilesh, say sources
Congress was voted out of power in UP by Mulayam Singh Yadav in 1989
                                The Samajwadi Party-Congress alliance which was promising to alter the political equations for Assembly polls in Uttar Pradesh is in trouble. Hectic negotiations for the last few days hit a wall on Friday when both sides, off the record, called the other's demand for more seats unreasonable. Amidst building tension, Chief Minister Akhilesh Yadav started talks with Congress leaders through back channels to iron out the differences since Saturday morning.

At the heart of the trouble were two key issues - how many seats will each get and which seat will go to which party.

By evening the talks were stalled once again. Akhilesh Yadav, who started bargaining from not more than 85 seats in the morning made the final offer by late afternoon. He has now put them all in the Congress's court by agreeing to give 99 of the 403 seats to the Congress. But the Congress wants nothing less than 104 - it had asked for 110.

The two parties had sent out all the right signals till Monday last. But when the two camps sat down for seat sharing talks trouble erupted. Senior Samajwadi Party leaders today indicated that Akhilesh Yadav who has already announced 210 candidates - some even on seats held by Congress legislators - may announce few more if talks fail as time is running out and nominations for the first phase are ending on January 24.

The chief minister is not waiting for the alliance to be through in more ways. Tomorrow, Akhilesh Yadav will be releasing his party's manifesto in Lucknow.

Sensing tie-up trouble, top Congress leaders had rushed to Lucknow. The Congress which has been reduced to player number four in Uttar Pradesh was eyeing the alliance to recover ground. While senior Samajwadi Party leaders maintain that the Congress doesn't have the footprint strength to initially demand nearly 130 seats, the Congress says anything less will hurt the national party's interests.

Samajwadi Party sources say the alliance is not taking off as the Congress wants it to surrender some seats it had won in 2012.

However, insiders say that the real tussle is over seats where minority vote holds sway. The Congress was edged out of power in Uttar Pradesh by Akhilesh Yadav's father Mulayam Singh Yadav in 1989. The rise of 'Mullah Mulayam' brought the drift of minority vote to the Samajwadi Party from the Congress. While the Samajwadi Party is keen to maintain its most favoured party status among Muslims, the Congress wants to regain lost ground via the alliance.","new delhi:"
"224","Uttarakhand Elections 2017: Congress Releases Candidate List Of 63 Contestants","                             Ahead of the Uttarakhand assembly elections, scheduled for February 15, the Congress has released a list of 63 candidates including incumbent Chief Minister Harish Rawat, who will contest from two seats. The decision was taken at a meeting of the party's central election committee, chaired by Congress chief Sonia Gandhi, in New Delhi on January 21.

State ministers Indira Hridyesh, Surendra Singh and Dinesh Aggarwal will contest from Haldwani, Kotdwar and Dharampur constituencies respectively. Other Congress leaders included in the list are Mantri Prasad Naihani, Harish Chandra Durgapal and Goving Singh Kunjwal who have been respectively fielded from Deoprayag, Lalkuwa and Jageshwar.

Chief Minister Harish Rawat has been fielded from Kiccha and Haridwar Rural constituencies.

The Uttarakhand polls will be a direct contest between the BJP and the Congress. According to news agency PTI, both parties are seeking a mandate on the agenda of development. Chief Minister Harish Rawat will also that the BJP-led Centre had dismissed the Congress-led state government till it was restored by the judiciary. The Congress has also roped in political strategist Prashant Kishor, whom Mr Rawat described as 'Chyawanprash', for the Uttarakhand polls.

""Kishor is like Chyawanprash... People resort to such tonics as they age,"" MR Rawat was quoted, by PTI, as saying.

Many senior Congress leaders from the state, including former Chief Minister Vijay Bahuguna, resigned from the party to join the BJP. However, the BJP's decision to field these ex-Congressmen from various constituencies has led to resentment among the senior BJP leaders from the state including Om Gopal Rawat, Asha Nautiyal and Shailendra Singh Rawat.

(with inputs from PTI)","new delhi:"
"228","Arvind Kejriwal Censured By Election Commission For Bribe Remarks At Goa Rally"," HighlightsElection Commission asks Arvind Kejriwal to explain his Goa rally remarks
Says prima facie Mr Kejriwal's remarks violate Model Code of Conduct
Mr Kejriwal told voters to take money from other parties but vote for AAP
                                Delhi Chief Minister and Aam Aadmi Party chief Arvind Kejriwal has been censured by the Election Commission today for saying that voters in Goa should accept money from the BJP and the Congress but cast their ballot for the AAP. Earlier this month, addressing an election rally in Goa's Benaulim, Mr Kejriwal had said, ""If Congress or BJP candidates offer money, do not refuse it. Accept it as your own money. But when it comes to voting, press the button against the name of the AAP candidate.""

Mr Kejriwal, calling the Election Commission order wrong, said he will challenge it in court. ""EC order agnst me completely wrong. Lower court gave order in my favor. EC ignored court's order. Will challenge EC's latest order in court (sic),"" Mr Kejriwal tweeted in his defence.

The Election Commission, which had sent a notice to Mr Kejriwal earlier this week, had said that, prima facie, it is of the opinion that Mr Kejriwal's statements at the rally violated the Model Code of Conduct which came into force in Goa on January 4. It said that the Delhi Chief Minister's statement amounts to ""abetting and promoting electoral offence of bribery"". It further said that strict action will be taken should Mr Kejriwal fail to respond by the afternoon of January 19.

The Congress had taken offence to Mr Kejriwal's comments and had demanded the Election Commission to take action.

""Kejriwal's appeal to the people to take money from all political parties and vote for AAP is a clear case of inducing people to be corrupt. This is an insult to the sensitive voters from Goa,"" Congress spokesperson Trajano D'Mello had said.

The Aam Aadmi Party has fielded former Inspector General of Prisons Elvis Gomes as their Chief Ministerial candidate in Goa, which goes to polls on February 4.","new delhi:"
"229","Budget On February 1, No Delay, Says Supreme Court"," HighlightsBudget not to be moved from Feb 1 to after state polls: Supreme Court
Petitioner said centre could sway voters with populist moves before polls
Governments not allowed to make populist move to sway voters before polls
                                The government's annual budget will not be moved from February 1 to after the elections in states like Uttar Pradesh, the Supreme Court ruled today.

The petitioner, an advocate named ML Sharma, had argued that the centre could seek to influence the outcome of the polls with populist spending promises. Election rules do not allow governments to offer giveaways or make any announcements that could skew voters towards the party in power at the centre or in states.

But the court today said that the union budget has ""nothing to do with states "" and stressed that elections in states are held so often that they cannot impede the work of the centre. ""Throughout the year, there may be elections in different states, so should the centre ","new delhi:"
"232","Samajwadi Tie-Up Wobbles, Congress Says Will 'Talk to Akhilesh Yadav'"," HighlightsAkhilesh Yadav's list of candidates leaves Congress upset
He has given 9 seats held by Congress to his own candidates
Congress meets to review proposed alliance with Akhilesh Yadav
                                The Congress has said it is ""unfortunate"" that the Samajwadi Party has announced candidates for nine assembly seats that the Congress holds and admitted it has called their proposed partnership for the Uttar Pradesh elections into question. The party said senior leader Guhlam Nabi Azad would talk to Uttar Pradesh Chief Minister Akhilesh Yadav now. ","new delhi:"
"234","BJP Releases List Of 31 Candidates For Manipur Polls","                             The BJP on Monday released its first list of 31 candidates for the Manipur assembly elections on March 4 and March 8.

The candidates were finalised by the Central Election Committee at a meeting presided over by party President Amit Shah. Prime Minister Narendra Modi and senior cabinet ministers also attended the meeting.

The Bharatiya Janata Party (BJP) has fielded N. Biren Singh from Heingang assembly seat, L. Susindro Meitei from Khurai, Thakur Biswajit Singh from Thongju, L. Rameshwar Meitei from Keirao, Nimaichand Luwang from Andro and Ibomcha Singh from Lamlai.

Candidates have also been announced for Sagolband, Keisamthong, Yaiskul, Wangkhei, Knothoujam, Patsoi, Langthabal, Wangoi, Mayang Imphal, Nambol, Oinam, Moirang, Thanga, Kumbi, Lilong, Thoubal, Wangkhem, Heirok, Wanging Tentha, Khangabok, Wabgai, Hiyanglam, SugnooTadubi (ST) and Tamei (ST) assembly seats.","new delhi:"
"240","Punjab Polls: BJP Declares Candidates For 17 Seats In The State","                             Bharatiya Janata Party (BJP) announced the list of its candidates for 17 seats in Punjab. The party however withheld the announcement for six others, where it has sitting MLAs, indicating that some of them could be dropped. Union Minister J P Nadda, who is also party's Central Election Committee (CEC) Secretary, told reporters that the names of remaining candidates would be announced later. Five sitting MLAs are among the 17 candidates announced today. BJP has 12 MLAs in the outgoing Assembly.

These six seats include four being represented by ministers in the SAD-BJP coalition government. A couple of them could be dropped as they are over 75 years of age and some others are being seen more vulnerable in an election where the alliance is weathering 10 years of anti-incumbency.

It also fielded Rajinder Mohan Singh Chhina for the bypoll to Amritsar Lok Sabha seat, which fell vacant following the resignation of Congress leader Amarinder Singh, who had defeated Finance Minister Arun Jaitley in 2014 polls. Rajesh Hani will contest from Amritsar East, a seat held by Navjot Kaur Sidhu, who along with her husband Navjot Singh Sidhu has quit BJP. She has joined Congress.

The five MLAs in today's list are Dinesh Singh Babbu, Seema Kumari, Ashwani Sharma, K D Bhandari and Sukhjeet Kaur Sahi from Sujanpur, Bhoa, Pathankot, Jalandhar North and Dasuya constituencies respectively.

BJP's National Secretary Tarun Chugh will fight from Amritsar Central.

Some MLAs, who are likely to be dropped, are pitching for family members as party candidates.

The CEC, which included Prime Minister Narendra Modi and party president Amit Shah, had met last evening to finalise the names. Sources said there are divergent views in the party over dropping some of the MLAs, causing a delay in the final announcement.

The notification for the state polls, to be held on February 4, was made yesterday and the last date of filing nomination is January 18.

SAD-BJP is locked in a tough battle with Congress and AAP, which has emerged as a formidable third force in the state.","new delhi:"
"241","BJP Likely To Announce Candidates For Punjab, Goa Today","                             BJP's Central Election Committee on Wednesday night met to finalise party candidates for Punjab and Goa assembly elections and is likely to announce their names today.

Top party brass, including Prime Minister Narendra Modi and BJP president Amit Shah, took part in the exercise for the two states going to the polls in single-phase on February 4.

BJP will field it's candidates in 23 seats in Punjab with its senior partner Shiromani Akali Dal expected to contest remainder of the total 117 seats.

In 40-member Goa assembly seats, BJP will fight most of the seats while a few may be left for some ally.

Sources said after the meeting that more consultation was required for a few seats, delaying the announcement of the names of the party nominees for these two states.

The CEC is likely to meet again on January 15 to name candidates for crucial UP polls.

Assembly elections in the politically-crucial Uttar Pradesh, Punjab, Uttarakhand, Goa and Manipur will be held between February 4 and March 8.

Counting of votes will be taken up together in all the states on March 11.

In Uttar Pradesh, which has a 403-member House, polls will be held on February 11 (73 constituencies), February 15 (67 constituencies), February 19 (69), February 23 (53), February 27 (52), March 3 (49) and March 8 (40).

Unlike last elections, Manipur, which recently witnessed violence raising questions whether elections would be possible now, will have a two-day polling on March 4 (38 seats) and March 8 (22 seats).

Polling will be held in Punjab and Goa together on February 4 and in Uttarakhand it will be held on February 15.","new delhi:"
"242","Not Quitting, Says BJP's Punjab Chief Vijay Sampla After Meeting With Amit Shah","                             Vijay Sampla, the BJP's Punjab chief, has denied reports that he has resigned or threatened to, over selection of candidates for the assembly elections in the state. Mr Sampla, who is a union minister, had met BJP chief Amit Shah this morning, amid reports that he was upset at a candidate he wanted not being picked by the party's central selection committee. Punjab will vote for a new government on February 4. The BJP partners the Akali Dal in the ruling alliance. ","new delhi:"
"243","Will Take Stern Action If Poll Code Violated: Election Commission To Parties","                             The Election Commission on Tuesday warned political parties that it will not remain a ""silent spectator"" and will undertake stern steps if the model code of conduct or poll laws are violated by them during the forthcoming Assembly elections in five states.

In a strong letter, citing a recent judgement of the Supreme Court, the EC said peace and tranquility during the polls process is ""absolutely essential for free and peaceful conduct of elections in the country.""

""As you are kindly aware the model code of conduct and various provisions of IPC, inter alia, provide that political parties and their leaders should desist from making statements to the effect of creating disharmony between different sections of society on the basis of religion as the same disturb peace and tranquility of the society which is absolutely essential for free and peaceful conduct of elections.

""Even, the apex court of the country has expressed its deep concerns in the matter vide its judgement and order dated January 2, 2017...,"" it said.

The EC's letter to the national and state parties added: ""The Commission will not remain a silent spectator if the provisions of law or MCC are violated and no one can do it with impunity. The Commission will take stern actions for any violation under all powers available.""

""All may please note it and issue suitable advisory to all concerned,"" it added.

In a landmark verdict seeking to separate religion, caste and other issues from politics, the Supreme Court, by a majority verdict, had held as ""corrupt"" the practice of candidates appealing for votes on the basis of these identities included not only him but his agents and voters.

The court held that the provisions of the Representation of Peoples Act, which say that seeking vote by a candidate in the name of ""his"" religion, caste, race and language in the election law, included candidates, his agents and voters also.

""An appeal in the name of religion, race, caste, community or language is impermissible under the R P Act, 1951 and would constitute a corrupt practice sufficient to annul the election in which such an appeal was made regardless whether the appeal was in the name of the candidate's religion or the religion of the election agent or that of the opponent or that of the voter's,"" the top court order had said.

Between February 4 and March 8, Uttar Pradesh, Uttarakhand, Punjab, Goa and Manipur are going for Assembly polls and the Model Code of Conduct came into force on January 4 when the EC announced the election schedule.","new delhi:"
"245","Race Among Relatives As BJP Picks Candidates For UP. 50 In Queue","                             Despite Prime Minister Narendra Modi's firm no to family members of party men contesting polls, the BJP has been swamped with requests on behalf of relatives and some may even slip into the final list, say sources.","new delhi:"
"246","CISEC Reschedules ICSC And ISC Board Exams' Dates: Class 10 To Start From March 10, Class 12 From January 30","                             ICSE and ISC examinations for Classes X and XII have been rescheduled in view of Assembly elections in five states including Punjab, Uttar Pradesh, Goa, Manipur and Uttarakhand.

The Indian Certificate of Secondary Education (ICSE) Class X exam, which was earlier scheduled to begin on February 27 and end on March 31, will now commence on March 10 and conclude on April 21, it said today.

Similarly, the Indian School Certificate (ISC) examination for Class XII, which was scheduled to begin on February 6 and conclude on April 5, will now begin on January 30 and conclude on April 26.

Last Monday, CBSE has also announced its dates for Class 10 and Class 12 examinations. The Central Board of Secondary Education (CBSE) Class 10 board exams will be held from March 9 to April 10. The Class 12 exam will start on March 9 and end on April 29.

""Consequent to the dates for Assembly elections being announced for the states of Punjab, Goa, Manipur, Uttarakhand and Uttar Pradesh, the dates for ICSE and ISC examinations had to be rescheduled,"" said Gerry Arathoon, Chief Executive and Secretary of the Council for the Indian School Certificate Examinations (CISEC), which conducts the examinations.

""As a result of rescheduling of the examination, the candidates will now have the benefit of added study time. The schedule of entrance examinations for admission to professional courses has been taken cognisance of,"" Arathoon said in a statement.

A total of 2,50,871 candidates are registered for the examinations in 2017, with 1,76,327 candidates registered for ICSE examinations and 74,544 for the ISC examinations.

""The timetable for the ISC & ICSE 2017 Examinations is being revised owing to the forthcoming elections to the legislative assemblies of Uttar Pradesh, Uttarakhand, Punjab, Manipur & Goa."", said the notice posted earlier in its official website of the Council for the Indian School Certificate Examination (CISCE), which conducts Indian Certificate of Secondary Education (ICSE) and Indian School Certificate (ISC) examinations.

(With inputs from PTI)

Click here for more Education News","new delhi:"
"248","Ahead Of Punjab Elections, Navjot Singh Sidhu Joins Congress, Meets Rahul Gandhi"," HighlightsNavjot Sidhu's wife said he would be contesting from Amritsar East seat
Election will be held in Punjab on February 4
Mr Sidhu had quit the BJP in September 2016
                                Cricketer-turned-politician Navjot Singh Sidhu joined the Congress today ahead of assembly elections in Punjab after yet another meeting with Congress vice president Rahul Gandhi, who welcomed him into the party. The 58-year-old had quit the BJP in September 2016, complaining that he had been sidelined.

Mr Sidhu came on board after lengthy negotiations and several rounds of meetings with Mr Gandhi. His wife Navjot Kaur said he would be contesting from the Amritsar East seat. Sources also said he would get one ticket per family for some of his supporters. As one of the party's star campaigner, he would also address more than 70 rallies.

It was, however, not clear that Mr Sidhu would be offered the post of the deputy Chief Minister, as he had earlier demanded.

Today' meeting with Rahul Gandhi -- the second in four days -- happened at mid-day, during which the Congress vice-president welcomed him into the party. Within minutes, Congress spokesperson Randeep Singh Surjewala tweeted, ""INC welcomes S.Navjot Singh Sidhu & thanks Rahul Gandhiji for bringing likeminded leaders under the Congress umbrella"".

Later in the afternoon, Mr Sidhu tweeted:
Mr Sidhu's wife Navjot Kaur has already been fielded as a candidate, but the constituency is yet to be decided.

Election will be held in Punjab on February 4, in which the Congress, which has been out of power for a decade, has been hoping for big gains. Captain Singh, who is leading the Congress campaign in the state and denied rumours about being unenthusiastic about having Mr Sidhu on board, today said he had spoken to the former cricketer on phone.","new delhi:"
"249","Punjab Election 2017: Navjot Singh Sidhu And 40 Seats, Congress Vice President Rahul Gandhi To Decide"," HighlightsCongress yet to announce candidates for Punjab election
Mr Sidhu wants 4 or 5 seats and also Amritsar parliament seat for himself
Mr Gandhi to hold meeting today to finalise candidates for Congress
                                With Rahul Gandhi back in town after a holiday abroad, the Punjab Congress hopes to wrap up selection of candidates - the party is yet to announce candidates for 40 of the state's 117 seats even a week after assembly elections were announced. Rivals Akali Dal-BJP and the Aam Aadmi Party are well off the mark and campaigning hard.

Mr Gandhi will head a meeting today to finalise candidates for the party, which released its manifesto for Punjab only yesterday. Nominations begin tomorrow and the state will vote on February 4.

The ever changing demands of cricketer-turned-politician Navjot Singh Sidhu, says sources, are part of the problem. Mr Sidhu, slated to join the Congress for weeks now, reportedly has new terms - he wants a seat to contest not only for himself, but also his wife, who has already joined the party, and other associates. Four or five seats is his latest demand, said sources, and he also wants the Amritsar parliament seat, which he once held as a BJP man, thrown in.","new delhi:"
