"","Headline","article","location"
"77","Uttar Pradesh Election 2017: BJP Tops List Of Candidates With Criminal Cases In Phase-1","                             The first phase of the crucial seven-phase Uttar Pradesh assembly elections will take place today. The fate of the key parties - BJP, Congress-Samajwadi Party alliance, and the Bahujan Samaj Party - will be decided today in 73 constituencies of western Uttar Pradesh, including Noida, Shamli, Ghaziabad and Meerut.

According to the Association for Democratic Reforms, approximately 40% of the BJP candidates in phase-1 have declared criminal cases against them, the most, followed by the BSP with a close 39 per cent. The SP-Congress alliance has a combined 28 per cent candidates with criminal cases.

One hundred and sixty-eight of the total 836 candidates, or approximately 20 per cent, contesting the first phase have criminal cases against them.

Here is a breakdown of candidates with criminal cases for the first phase of the Uttar Pradesh election 2017:
","lucknow:"
"78","Uttar Pradesh Elections 2017: In Noida, Many Find Their Names Missing From Voters List","                             There was evident enthusiasm among voters in Noida which went to the polls in the first phase of the Uttar Pradesh assembly elections, but many felt disappointed after finding their names missing from the voters list.

The constituency abutting Delhi recorded a voter turnout of 58.18 percent.

The triangular contest here is between BJP's Pankaj Singh, the son of Union Home Minister Rajnath Singh, Samajwadi Party's Sunil Choudhary and Bahujan Samaj Party's Ravikant Mishra.

Sabhajit Yadav, an auto driver who lives in Sector 8, said he was very disappointed on not finding his name in the voters list.

""My name was missing from the list. An Anganwadi worker came to my house to get the names verified. But when I went to cast my vote, they said my name was not in the Election Commission record,"" Yadav told IANS.

""We have been living here for more than 30 years. How is it possible that my name is not there on the list while my daughter's and my wife's names are there,"" he added.

A polling agent of Samajwadi Party in Sector 11 said there were complaints from a large number of people about their names being missing. An agent of the BJP in the area also seconded him.

Richa Bala, who came to the polling booth at Ghijor village, said that she had voted in the 2014 Lok Sabha election but was unable do so in this election.

Bala's friend, who was accompanying her, said she had called the prescribed toll number to lodge a complaint and got to know that 2,000 such complaints had already been made.

Lalita, who runs a shop at Ghijor village, also rued that she could not vote.

""I have been casting my vote here for the past 25 years. This time my name is missing from the list. My husband's name is there, but not mine,"" she said.

A booth level officer at Ghijor said they could not help those whose names were missing.

""If a person's name is there at multiple places, it gets deleted. People have to take care that they are properly registered at one address only,"" he said.

Contacted, Kumar Vineet, Additional District Magistrate, Gautam Budh Nagar, said that the list was publicised many times.

He said people whose names are missing might not have checked the list.

""There could be many reasons. They should have verified their names in the voters list before the elections,"" Vineet told IANS.

Some voters did not hesitate to express their preferences.

""BJP is in power at the Centre. If they come to power in the state, there will be development here as well. Law and order situation is not good in Uttar Pradesh,"" said Rakesh Bhandari, a resident of Sector 11, who works in a telecom office.

""I think there is a contest between the BSP and BJP,"" he added.

Another voter, Kailash Mandal, a resident of Sector 17, said: ""It is a contest between Samajwadi Party and BJP here in Noida. The BSP is a bit down.""

""There is hope that Sunil Choudhury will win. He is an old candidate from Noida. With BSP contesting this time, BJP will lose votes,"" Mandal added.

(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)","noida:"
"79","PM Narendra Modi's Speech In Shrinagar In Uttarakhand's Garhwal Region Ahead Of Assembly Elections: Highlights","                             Ahead of the Assembly election","dehradun:"
"80","Uttar Pradesh Elections 2017: Minister Allegedly Threatens To Set Journalist On Fire","                             Uttar Pradesh Minister Radhey Shyam Singh allegedly threatened to set a local journalist on fire for not supporting him during the ongoing Assembly elections in the state. Mr Singh of the ruling Samajwadi Party denies the claim.

The journalist has filed a complaint with the police and has handed over the mobile audio of the alleged threat to the Superintendent of Police, Kushinagar, Raju Babu Singh. Mr Singh said he had received the complaint and the matter would be investigated.

In the past too, the minister has been accused of abusing and threatening local government officials over phone.

Earlier, another Uttar Pradesh Minister, Ram Murti Singh Verma, was booked along with five others in connection with the killing of a journalist Jagendra Singh by allegedly setting him on fire in Shahjahanpur district in June 2015. He had made a Facebook post against the minister regarding his alleged involvement in illegal sand mining and land grabbing.

Kushinagar goes to polls on March 4 in the penultimate phase of the seven-phase Assembly elections ending on March 8.","kushinagar, uttar pradesh:"
"81","Uttar Pradesh Elections 2017: All Major Parties Claim They Swept The First Phase","                             A day after the first phase of polling, major parties in Uttar Pradesh claimed that they have swept the round and were on the road to form government in the politically crucial state.

Samajwadi Party party chief Akhilesh Yadav said that the downfall of those who had ""befooled"" the people promising ""achche din"" has started while Mayawati asserted that she will prove pollsters wrong as she did in 2007 when they predicted her defeat.

BJP Chief Amit Shah claimed 'achhe din' will come in Uttar Pradesh after counting of votes on March 11.

Claiming that SP was ahead of rivals in the first phase, Akhilesh said the trend will continue and the alliance will get majority.

""We could have got majority alone, but after alliance with Congress we will comfortably win over 300 seats,"" Akhilesh said in Badaun.

""The downfall of those who had befooled people promising 'achche din' has started. After 2017, they will be wiped out in 2019 also. They (BJP) should tell as to what have they done for people,"" he said.

Addressing a rally in Sitapur, Mayawati claimed it was a ""clean sweep"" for BSP in the first phase.

""The first phase of UP polls was encouraging for BSP. It was a clean sweep for our party. It's a positive signal that we are going to form government in the state,"" she told an election rally here.

She dubbed as ""fake"" the surveys and opinion polls that said BSP will not come to power and said that they will be proved wrong as in 2007, when her party got majority.

""You should not believe in such surveys. If BSP came to power all development schemes will be restarted and names of schemes and places that were changed will be restored,"" she said.

Mr Shah said BSP is the main rival from BJP in first two phases of Uttar Pradesh Assembly polls and Samajwadi Party in the rest five.

""As per the trend of first phase, we will get more than 50 seats (out of 73). In the first two phases we will be getting more than 90 seats (out of total 140). The main rival in these two phases is BSP. In the next phases, the rival will be SP,"" Mr Shah told reporters in Lucknow.

He claimed that issues like payment of cane dues, loans at zero per cent interest to farmers, anti-Romeo squads to check crime against women, and some other key points in BJP manifesto had attracted youths and common people and they were supporting BJP.

Slamming Akhilesh, Mr Shah said he has conceded defeat by sacrificing 105 (of the 403) seats to Congress.

On the chief minister's charge that 'acche din' have eluded the people, he said, ""By saying this, Akhilesh has accepted that he has failed. After ruling for five years, he is asking when will 'acche din' come. It will come after March 11, when BJP will form government.""

The first phase of UP polls in 73 assembly constituencies witnessed 64.22 per cent voter turnout yesterday. Voting will be held in 67 Assembly constituencies spread over 11 districts on February 15.

The other five phases will be held on February 19, 23 and 27 and on March 4 and 8.

Counting will be taken up on March 11.","lucknow:"
"82","Uttar Pradesh Elections 2017 Live: Polling Closes For The State's Polls' First Phase"," While the SP hopes to retain power - albeit with the Congress this time, the BJP and BSP hope to regain power in the state after 13 and five years, respectively.

The BJP won 71 of the 80 Lok Sabha seats in the 2014 Union elections, decimating the Congress, SP and BSP - which were reduced to five, two and zero seats in the Lok Sabha elections. The election in Uttar Pradesh - along with those in Punjab, Goa, Manipur and Uttarakhand - is considered to be a referendum on PM Modi's demonetisation drive. In his campaigns across Uttar Pradesh, PM Modi urged voters to root out 'SCAM' - an acronym for Samajwadi Party, Congress, Akhilesh Yadav and Mayawati.

Ms Mayawati is expected to be a five-time Chief Minister of Uttar Pradesh, should the BSP win. Her party was the worst sufferer in the state in the 2014 Union elections as it failed to register a single seat. This time, the party has fielded a record number of candidates belonging to the Muslim community, considered to be a key vote bank for the Samajwadi Party and the Congress.

The poll is also a crucial test for the new national president of Samajwadi Party, Akhilesh Yadav, who gained control of the party after a bitter feud with his father Mulayam Singh Yadav and uncle Shivpal Yadav. The Uttar Pradesh Chief Minister has forged an alliance with the Congress and lately, Rahul Gandhi and Mr Yadav have been jointly campaigning all over Uttar Pradesh. The Congress will contest 24 seats whereas the Samajwadi Party has given tickets to 51 contestants in the first-phase.

Prime Minister Narendra Modi is an incumbent Lok Sabha member from Varanasi whereas Congress' top leaders Sonia and Rahul Gandhi are parliamentarians from Raebareli and Amethi, respectively.

Here are the live updates for the Uttar Pradesh elections 2017:

7:45 pm IST: About 51 per cent votes were polled in Noida Assembly constituency, from where Home Minister Rajnath Singh's son Pankaj Singh is contesting, in the first of the seven-phase Uttar Pradesh polls.

7: 25 pm IST:  Updated voter turnout in UP first phase polls: 64.2 per cent.

7:15 pm IST: There were 13 cases of paid news, out of which 10 has been confirmed in first phase of UP elections, says Election Commission

7:05 pm IST: Samajwadi Party leader Mulayam Singh today chose to ask for votes for a Lok Dal candidate in adjoining seat at his brother Shivpal Singh Yadav's constituency, Jaswantnagar in Etawah
","the first phase of uttar pradesh assembly elections took place today in the key constituencies of mathura, meerut, ghaziabad and noida, among others. the first-phase election in india's largest state is an intense, high-octane three way contest between the bjp, the bahujan samaj party and the samajwadi party-congress alliance."
"83","UP Elections 2017: Mulayam Singh Yadav's First Election Rally is Today. For Brother Shivpal Yadav"," HighlightsMulayam Singh Yadav to address rally in his brother's constituency
He is also slated to speak at a rally for daughter-in-law Aparna Yadav
First rally after his son Akhilesh Yadav took over the reins of the party
                                When Samajwadi Party mentor Mulayam Singh Yadav gets up to speak at a rally in Takha, his brother Shivpal Yadav's assembly constituency Jaswantnagar this afternoon, it will be the first, and probably one of the two election rallies he will address over the next few days. The other rally, is slated for his younger daughter-in-law Aparna Yadav, in the Lucknow cantonment seat in Uttar Pradesh's Capital.

This will also be Mulayam's first election rally after a number of flip-flops on whether he would campaign for the Samajwadi Party after his son Akhilesh Yadav took over the reins of the party. Today's rally coincides with the first phase of polling in the state that will vote in seven phases ending March 8.","jaswantnagar:"
"84","UP Elections 2017: BJP Lawmaker Sangeet Som's Brother Detained For Carrying Pistol Inside Polling Booth"," HighlightsGagan Som whisked away from a polling booth in Faridpur in Uttar Pradesh
Sangeet Som made news with his fiery speeches during Muzaffarnagar riots
Polling is on for first of 7 phases of assembly polls in Uttar Pradesh
                                BJP lawmaker Sangeet Som's brother, Gagan Som, was detained this morning in Uttar Pardesh's Faridpur for carrying pistol inside a polling booth, a police officer said.","lucknow:"
"85","UP Elections 2017: Battleground Saharanpur Is Big Test For Congress, BSP","                             As Saharanpur goes to polls on Wednesday, the stakes are the highest for the Congress - its campaign spearheaded by its firebrand UP vice-president Imran Masood. The party is contesting five of the seven assembly seats in the region, where Mayawati's attempts to forge a Muslim-Dalit combination will also be put to test.

More than 40% of the people in this fertile agricultural belt, home to one of the most influential Islamic seminaries, the Darul Uloom Deoband, are Muslims. The Dalit population is around 22%. Large pockets of the Gujjar community are also there, especially in seats like Gangoh and Nakur. The latter is the seat from where Imran Masood, one of Congress' four state vice presidents, is contesting.

Mr Masood hit the headlines in 2014, when he was arrested for a hate speech against Narendra Modi, an image he wants to put behind. ""Look, to say botti botti (chopping into pieces) is... the sort of language we use colloquially... I have already said I was wrong. My politics is not of hate, and people know that,"" Masood tells NDTV.
Not everyone is as convinced.

Muzzafarnagar is next door, points out BJP supporter Dr Gupta, and after the riots and the tenor of the speeches of the BJP leaders, Muslims were looking for more dabang (fearless) Muslim leaders. But he too concedes that ""Imran has charisma and is always ready to listen to people's problems.""

Mr Masood moved out of the Samajwadi Party in 2013 to join the Congress. Now seen as a favourite of party vice president Rahul Gandhi, he is reported to have influenced the choice of candidates in all seven seats. From one seat, Gangoh, he even fielded his brother Noman.

Mr Masood is ebullient about how the Samajwadi Party-Congress alliance would sweep the elections under Rahul Gandhi, whom he calls the country's ""most dynamic leader"" and Chief Minister Akhilesh Yadav, ""the face of development"".

It is this image of power, real and sometimes exaggerated, that makes Mr Masood the chief target for his rivals. His challenges come from many quarters.

Closer home, it is his uncle Rashid Masood, who has been upset that his nephew, and not his son Shadan, was being promoted within the Congress.

Mr Masood also has to assuage angry Gujjars, who accuse him of sabotaging tickets to Gujjar candidates such as Mukesh Chowdhury. ""Please don't be angry with me,"" he tells an audience of 150 Gujjars at Mohdipur village, attempting to placate clan elders.

A short distance away, outside their huts in the poorest part of the village, a few Dalit women listen to him. But they have already made up their minds. ""We only vote for the elephant,"" they say.

The sentiment is echoed other parts of Saharanpur.

Behat sent BSP candidates to the Lok Sabha and state assembly in the last elections. ""If Mayawati gives an elephant a ticket from Behat, we will vote for it,"" says Gagan, an elderly shopkeeper from Alampur village.

The BSP has fielded Mohammad Iqbal, better known as Haji Iqbal, from Behat. For someone who had run into trouble with the Enforcement Directorate, it is no surprise that his wealth and the sprawling Glocal campus, an educational institute he set up, is a talking point. In his election affidavit, he had declared assets to the tune of 14 crore rupees.

""Haji Iqbal is the BSP's big leader and he's the one giving Masood sleepless nights,"" says Obaid, an engineer. But he is countered by colleague Sadat, who bets on Imran's popularity. The Congress nominee from the seat is Naresh Saini, but the contest in Behat has become a proxy battle between Haji Iqbal and Mr Masood.

There is another smaller, but embarrassing challenge for Mr Masood from within his own party. Saad Ali Khan, a man denied the Congress ticket is now fighting as an independent from the rural Saharanpur seat. Mr Khan, who hails from an elite family, insists he was a sure-shot winner and blames an insecure Masood of blocking his ticket.","saharanpur:"
"86","UP Elections 2017: Priyanka Gandhi Sets February 13 Date With Amethi, Rae Bareli","                             Congress supporters in Amethi and Rae Bareli are eagerly waiting for February 13 to catch a glimpse of Priyanka Gandhi when she will kick off her campaign for the Congress party in the two towns.","lucknow:"
"87","UP Election 2017: Ajit Singh's Party Tries to Stitch Together Rainbow Coalition",NA,"the rashtriya lok dal has ruled out any post-poll alliance with the bjp, enthused by reports that their traditional votebank in western uttar pradesh, the jats, are angry with the bjp and may return to fold. the jat support had swung to the bjp in 2014 lok sabha elections following the muzzaffarnagar riots, and the rld - which had won 9 seats in 2012 assembly elections -- had drawn a blank. but with the perceived failure of the bjp to deliver on its pre-election promise of reservation in government jobs, there are reports that the jat ire against the party has grown.

""i am focussed on polls and not looking at post-poll,"" jayant chaudhary, the son of party chief ajit singh, told ndtv. ""i can assure you that under no circumstances we are looking at the bjp as an alternative.""

as the longtime representative of jat concerns, the rld contends that the bjp has not kept the promises made to the jats in 2014. there is no reservation in government jobs, better support price to sugarcane farmers was not offered and dues to sugar cane farmers remain yet to be paid. this time, the bjp has promised that if voted to power, cane dues for farmers will be paid within a fortnight.

at election rallies like the one in kundarki constituency, a muslim-majority constituency on the outskirts of moradabad, mr chaudhary talks of building bridges between communities and thereby, a new political coalition.

""one party says the muslims are getting together, so hindus must all get together. another party talks about caste. i am saying all weavers, farmers, labourers should all unite,"" he declared at the rally, taking a dig at both the bjp and mayawati's bahujan samaj party.

but 90 km away in bijnore, there is palpable tension after a 17-year-old jat boy in nayagaon was killed and his father seriously injured. all the accused in the violence -- which took place three days ago -- are muslims, which created tension and underscored the trust deficit between the two communities.

the rld candidate from the area had to face a hostile crowed when he visited the victim's family. ""why can't it be treated like any other crime? why bring it a communal angle? such things should be banned. do bjp leaders visit the victims of 5,000 murders and 2,000 rapes?"" mr chaudhury questioned.

a group of muslim cushion makers at kundarki, located next to mr chaudhary's rally in moradabad, downplay his attempts at a rainbow coalition. ""we think it is a party of the jats and we won't be able to vote for them,"" says tahir, one of the workers busy stitching the cover of a cushion.

the sentiment is reciprocated 5 kilometres away in jatupura -- a village dominated by jatavs but which has hundreds of jat families."
"88","ï»¿link",NA,"article"
"89","LJP And NEIDP Announce Party Candidates In Manipur","                             Lok Janshakti Party (LJP) has announced names of eleven candidates for the ensuing Manipur Assembly elections.

The names were announced by Karam Shyam MLA, National General Secretary of LJP yesterday.
","imphal:"
"90","Manipur Elections 2017: 100-Day Blockade The Biggest Poll Issue","                             The Manipur blockade by Naga groups, which will enter its 100th day tomorrow, is turning out to be the biggest issue in the assembly elections which will be held in less than a week's time. As people try to cope with the shortage of essential items, the Centre today called in two Naga leaders, who are in a jail in Manipur for allegedly masterminding the blockade, for talks.

The blockade had started on November 1 last year after Chief Minister Okram Ibobi Singh carved out seven new districts in the state. It has made life miserable for voters, with cooking gas shooting up to Rs. 2000 a cylinder in the black market.

On Friday, the Centre took the court's permission and flew Gaidon Kamei and Stephan Shankril to Delhi.","guwahati:"
"93","Manipur Elections 2017: Activist Irom Sharmila To Contest Against State's Chief Minister","                             Rights activist Irom Sharmila will contest against Manipur Chief Minister and Congress candidate Okram Ibobi Singh from Thoubal constituency in the Assembly elections to be held next month.

Ms Sharmila will contest from Thoubal seat, convenor of her party People's Resurgence and Justice Alliance (PRJA) Erendro Leichonbam, said.

Known for her fight against Armed Forces Special Powers Act, Ms Sharmila is a political greenhorn while Congress has been in power in Manipur for three successive terms under Ibobi Singh.

Congress on February 3 had released a list of 60 candidates for Manipur Assembly elections, with Chief Minister Okram Ibobi Singh contesting Thoubal seat.

In August last year, the 44-year-old Iron Lady broke her 16-year-old hunger strike, the world's longest such campaign, and declared that she wants to become the chief minister so that she could press for repeal of the contentious AFSPA.

While launching her party PRJA in October last year, Ms Sharmila had said she would contest from two seats - Thoubal and Khurai. While she belongs to Khurai, Thoubal is the Assembly constituency of the Chief Minister.

Leichonbam said the party has already started campaigning in Thoubal for Ms Sharmila.

However, there is no word yet about her contesting Khurai seat.

Ms Leichonbam said PRJA, which recently was allotted 'whistle' as the party's symbol, is likely to field altogether 10 candidates for the Assembly elections to be held on March 4 and 8.

Meanwhile, the Naga People's Front (NPF), the ruling party in Nagaland, has announced names of 15 candidates for the Manipur Assembly elections.","imphal:"
"94","UP Elections 2017: Date Problems Hit Rahul Gandhi, Akhilesh Yadav Roadshow In PM Narendra Modi's Varanasi","                             Team Akhilesh-Rahul will not hold a road show after all in Prime Minister Narendra Modi's parliamentary constituency Varanasi as Uttar Pradesh votes in the first phase of crucial assembly elections tomorrow. The five-hour rally featuring Uttar Pradesh Chief Minister Akhilesh Yadav and partner Rahul Gandhi of the Congress had been designed to draw attention to the young leaders as another part of the state voted. A strategy that was first tested by PM Modi in the national election of 2014.

The plan was to divert attention with the hype around a big joint rally in the PM's constituency in eastern UP, while western UP, where the BJP is seen as strong, voted.

The Congress has said that tomorrow's road show was cancelled because the administration withdrew permission earlier granted, citing celebrations in the area of the birth anniversary of a saint Guru Ravidas. The road show would be held another day, the party said.

Varanasi's District Magistrate Yogeshwar Ram Mishra however told NDTV that officials had been informed of ""no such programme for February 11,"" and sources said a clash of dates scuttled the road show. The Congress, before fixing the date had apparently failed to check with Akhilesh Yadav, who had already committed the date to campaigning in other parts of the states.

Mr Yadav, 43, and Mr Gandhi, 46, have held joint road shows in Lucknow, Kanpur and Agra, traveling together in a souped-up Mercedes SUV and drawing big crowds.","lucknow:"
"96","UP Polls 2017: Her Parents Want Her Married. Fighting Election Is Her Last Chance","                             She has been pitched against Uttar Pradesh's political heavyweights who have money, muscle and party cadre on their side. But 25-year-old Vandana Sharma knew this the day she quietly stepped out of her house with Rs 10,000 on a chilly January morning to file her nomination papers as an independent candidate from the Fatehpur Sikri assembly constituency.

The money, a third of her Rs 32,000 that she had declared as her assets in the election affidavit, was for the security deposit.

Ms Sharma says the struggle to get her family's support was a challenge.

""My parents wanted to marry me off, this is my last resort. I need to make something of myself,"" said Ms Sharma.

Ms Sharma is pursuing her graduation in Arts from Agra college. Her battles, however, aren't only about her life.

""My village has no basic amenities. There are no colleges nearby. Girls have to be accompanied by a male member if they step out. And we can't step out after 6pm... In 21st century India, this has to change,"" says Ms Sharma, a farmer's daughter.

During campaigning in the village, Ms Sharma promised to improve the lives of women through quality education, better healthcare and a safer environment.

""I will definitely vote for her, we have spent our lives inside the house, our daughters must step out,"" said Sarla Devi.

But it is mostly a lonely battle for her. Her youngest brother who has just completed his post-graduation, Sushil Sharma, is the only one by her side.

""No one supported her initially, no one spoke to her, she went alone to file her nomination, but after seeing her work so hard, I decided to help her,"" Sushil said.

Ms Sharma knows she may not really have a chance to make it to the Uttar Pradesh assembly, but she is glad she took the plunge.","fatehpur sikri:"
"97","Punjab Elections 2017: Re-Polling Ordered In 48 Polling Stations","                             The Election Commission on Tuesday ordered re-polling at 48 polling stations of Amritsar Lok Sabha constituency and the five assembly segments, including a seat from which SAD leader Bikram Singh Majithia is contesting, following malfunctioning in VVPATs and EVMs during February 4 elections.

The re-poll will be held on February 9. It was ordered in the wake of the malfunctioning of Voter-Verified Audit Paper Trail (VVPAT) and Electronic Voting Machines (EVMs) in these stations during the polling.

The re-polling has been ordered at 12 polling stations of Majitha Assembly seat, nine each of Muktsar and Sangrur, one each of Moga and Sardulgarh and 16 polling stations of Amritsar Parliamentary constituency, official said.

""The re-polling will take place at 48 polling stations because of the malfunctioning that occurred in some VVPATs and EVMs on the polling day. The re-polling will take place on February 9,"" Punjab Chief Electoral Officer VK Singh said.

Mr Singh said the polling hours shall be from 8 am to 5 pm and all the voters queued up till 5 pm at the polling stations can cast their votes.

Punjab CEO said necessary arrangements have been made and election material, EVMs, security and poll staff in adequate numbers have been deputed for this task.

""The central paramilitary force will be deployed at each polling station and no outsider will be allowed to stay,"" he said.

Despite facing problems in VVPAT, the Election Commission said they will be used during the re-poll.

""VVPATs will be used during the re-poll. A total of 47 VVPATs will be deployed at the polling stations and sufficient numbers of machines have been kept as reserve,"" he said.

Problem in VVPAT was witnessed in Majithia, Muktsar and Sangrur assembly segments while EVMs were found faulty in Moga and Sardulgarh segments.

No VVPAT was used in Sardulgarh segment, said CEO. EC had used VVPAT for the first time in Punjab at 6,668 polling stations in 33 Assembly segments and two segments in Amritsar Lok Sabha seat.

During the mock polls, 538 VVPATs were replaced while during polling 187 VVPATs were replaced.

Polling was affected at 25 polling stations in Majitha and ten each in Sangrur and Muktsar because of VVPAT malfunctioning.

VVPAT generates a receipt and allows people to verify the vote went in favour of the candidate against whose name the button was pressed on the electronic voting machine.

In one polling station each of Moga and Sardulgarh segments, EVMs had displayed the votes cast during mock polls despite the polling beginning at 8 am.

CEO said the officials at polling station in Moga and Sardulgrah where problems in EVM surfaced, maintained that they had pressed the 'clear' button to clear the votes polled during mock polls.","chandigarh:"
"100","Manipur Elections 2017: Notification Issued For Polls In 38 Assembly Seats","                             Election notification was on Monday issued for 38 assembly constituencies in Manipur which would go to polls on March 4 in the first phase.

According to an official release, returning officers of 38 assembly constituencies issued the election notification, starting the poll process.

The assembly constituencies where polling would be held during the first phase are - Khundrakpam, Heingang, Khurai, Kshetrigao, Thongju, Keirao, Andro, Lamlai, Thangmeiband, Uripok, Sagolband, Keishamthong, Singjamei, Yaiskul, Wangkhei, Sekmai, Lamsang, Konthoujam, Patsoi, Langthabal, Naoriya Pakhanglakpa, Wangoi, Mayang Imphal, Nambol, Oinam, Bishnupur, Moirang, Thanga, Kumbi, Saikul, Kangpokpi, Saitu, Tipaimukh, Thanlon, Henglep, Churachandpur, Saikot and Singhat, the release said.

The last date for filing nomination papers is February 14.

Scrutiny of nomination papers will be held on February 16 while the last date for withdrawal of nomination papers is February 18.

Meanwhile, the Manipur blockade by Naga groups, which will enter its 100th day today, is turning out to be the biggest issue in the assembly elections which will be held in less than a week's time. As people try to cope with the shortage of essential items, the centre on Tuesday called in two Naga leaders, who are in a jail in Manipur for allegedly masterminding the blockade, for talks.

The blockade is the BJP's main poll plank and it wants the matter solved before the state goes to polls. The party, which won the assembly elections in Assam last year, thinks it has a chance of winning Manipur. While the Congress is targeting the non-Naga voters who decide 40 of 60 assembly seats by hinting at a nexus between the former Naga militant group NSCN (IM) and the UNC.

With inputs from PTI","imphal:"
"101","UP Elections 2017: Akhilesh Yadav Desperate To Retain Power, Says PM Narendra Modi","                             Prime Minister Narendra Modi today took a dig at the Samajwadi Party-Congress alliance for Uttar Pradesh assembly elections, saying that opposition parties were joining hands fearing that BJP will get a majority in Rajya Sabha after the polls. Addressing an election rally in Aligarh, PM Modi said that Chief Minister Akhilesh Yadav was desperately trying to seek the help of anything to retain power.

PM Modi said that Samajwadi Party government has done ""nothing"" for development in the state. ""When the wind is so strong, even a young leader cannot face it and seeks help of anything ...even a pole...but this time BJP 'aandhi' (storm) is so strong that the Chief Minister fears that he might be blown off... The people of UP want change and justice,"" the PM said.

He used his signature style of coining acronyms to assert that BJP will bring ""Vikas"" - 'Vidyut' (electricity), 'Kanoon' (law and order) and 'Sadak' (roads), if voted to power in Uttar Pradesh.

 The Prime Minister said that his government's efforts to weed out black money from the country has created fear among opposition parties. ""We are working to save money by adopting strict measures. Will they not be angry with me and will not come together to defeat Modi? ...They feel that if they remain alone, Modi will get majority in the Rajya Sabha and make such rules that thieves, looters and the corrupt will not get any help. This is their fear,"" he said.

The Prime Minister said that Rs 40,000 crores from the treasury has been saved by linking aadhar cards and bank accounts to the central government's pension schemes which was being misused by the corrupt.

PM Modi also attacked the Akhilesh Yadav government for ""doing nothing for development"" and accused it of neither checking corruption, casteism and nepotism, nor clearing the cane farmers' dues. ""Youths were asked to pay bribe and bring recommendation for interviews by MLAs and Ministers. Poor had to mortgage land and assets to pay. This has to be stopped,"" he said.

Claiming that ""the corrupt are flourishing under the current UP administration"", PM Modi said that his government has linked pension to Aadhaar and bank accounts to check corruption.

(with inputs from PTI)","aligarh:"
"102","Punjab Elections 2017: Drugs, Liquor, Gold Worth 67 Crores Seized","                             Punjab recorded seizure of about Rs. 67 crore worth of liquor, drugs, gold and cash by Election Commission-appointed surveillance teams during a month-long period leading up to the state assembly polls. Among the seizures, the value of gold and silver turned out to be the highest at Rs. 26.14 crore, followed by drugs to the tune of Rs. 17.89 crore, liquor at Rs. 13.36 crore and cash of Rs. 9.52 crore, an official in the state elections office said here today.

The seizure was made by surveillance teams comprising of Punjab police, Narcotic Control Bureau, state excise and income tax department starting from January 4 when the model code of conduct came into force till February 4 when the polling took place, the official said.

Punjab police intercepted cash amounting to Rs. 58 crore during special checking undertaken throughout the state and then handed over Rs. 25.33 crore to the Income Tax department for further investigation.

Police, however, after seizing Rs. 1.14 crore, released about Rs. 32 crore which belonged to some banks. Out of Rs. 25.33 crore, the income tax sleuths seized Rs. 8.38 crore and released Rs. 9.97 crore after verification. A sum of Rs. 7.35 crore was still under investigation, the official said.

With drugs remaining a major poll issue in the state, the surveillance teams including NCB seized drugs worth 17.89 crore from different parts of the state, official said.

Seized drugs included poppy husk, opium, heroin, cocaine, charas, drug powder and even medicines like Tramadol, Alprazolam, Chlotdiazepoxide, Mifepristone which are abused. The surveillance teams also seized 12.43 lakh litres of illicit and legally produced liquor worth Rs. 13.36 crore at several places in the state, the official said.

In one case, the teams had made the biggest seizure of alcohol with the recovery of over one lakh liquor bottles in Bathinda district of Punjab in the wake of assembly polls. Punjab police seized gold and silver worth Rs. 26.14 crore and prominent in this seizure was the recovery of 160 kg of raw gold from Mohali, the official said.

A total number of 2,142 FIRs were registered in connection with the seizures and 2,120 accused were arrested. 416 illegal weapons were also seized.

A total of 451 teams of flying squads and 504 static surveillance teams were functional throughout the state.","chandigarh:"
